ＦＥＳＴＡ人吉店,熊本県人吉市宝来町１３０７−１ＨＩＴＯＹＯＳＨＩ−ＲＥＸ内,"https://maps.google.com/maps?q=ＦＥＳＴＡ人吉店@32.21203300536845,130.748296308004",32.21203301,130.7482963,festa,熊本県,,人吉市,,宝来町１３０７−１ＨＩＴＯＹＯＳＨＩ−ＲＥＸ内,-1,-1,-1,-1,-1
ＦＥＳＴＡ山鹿店,熊本県山鹿市方保田字鳥越3468-1,"https://maps.google.com/maps?q=ＦＥＳＴＡ山鹿店@33.00469408164305,130.7230283839142",33.00469408,130.7230284,festa,熊本県,,山鹿市,,方保田字鳥越3468-1,-1,10,0,24,0
ＦＥＳＴＡ上尾店,埼玉県上尾市愛宕３−１−４０バリュープラザ上尾愛宕店２Ｆ,"https://maps.google.com/maps?q=ＦＥＳＴＡ上尾店@35.9646627,139.5967779",35.9646627,139.5967779,festa,埼玉県,,上尾市,,愛宕３−１−４０バリュープラザ上尾愛宕店２Ｆ,-1,-1,-1,-1,-1
G3ポロス横手南店,秋田県横手市婦気大堤字中田4-1ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ横手南店2階,"https://maps.google.com/maps?q=G3ポロス横手南店@39.29522403515897,140.55225130845952",39.29522404,140.5522513,,秋田県,,横手市,,婦気大堤字中田4-1ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ横手南店2階,-1,-1,-1,-1,-1
ＧＡＭＥ　ＦＩＥＬＤ守山店,滋賀県守山市今浜町２６２０−５ピエリ守山1Ｆ,"https://maps.google.com/maps?q=ＧＡＭＥ　ＦＩＥＬＤ守山店@35.12300610809187,135.94560257724606",35.12300611,135.9456026,,滋賀県,,守山市,,今浜町２６２０−５ピエリ守山1Ｆ,-1,-1,-1,-1,-1
ＧＡＭＥ　ＧＥＴーＢｅｅ　ＶＡＬ小山店,栃木県小山市城山町３丁目３番地２２号,"https://maps.google.com/maps?q=ＧＡＭＥ　ＧＥＴーＢｅｅ　ＶＡＬ小山店@36.3126948,139.8066084",36.3126948,139.8066084,,栃木県,,小山市,,城山町３丁目３番地２２号,-1,10,0,20,0
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１,"https://maps.google.com/maps?q=ＧＡＭＥ ＰＡＤＤＯＣＫ＋１@36.2067383,139.7578725",36.2067383,139.7578725,,茨城県,,古河市,,小堤１９１６−１,-1,10,0,24,0
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４,"https://maps.google.com/maps?q=ＧＡＭＥＢＡＮＫ仙台泉店@38.3527525,140.877403",38.3527525,140.877403,,宮城県,,仙台市,泉区,大沢２−５−４,-1,-1,-1,-1,-1
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ,"https://maps.google.com/maps?q=ＧａｍｅＦｉｅｌｄ千城台店@35.6222355,140.1893642",35.6222355,140.1893642,,千葉県,,千葉市,若葉区,千城台北３丁目２１−１イコアス千城台３Ｆ,-1,10,0,20,0
ＧｉＧＯＬＥＣＴ広島,広島県広島市西区扇町２−１−４５ＬＥＣＴ２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯＬＥＣＴ広島@34.371942994472754,132.40745622760005",34.37194299,132.4074562,gigo,広島県,,広島市,西区,扇町２−１−４５ＬＥＣＴ２Ｆ,-1,10,0,21,0
